[18:44:30] [main/INFO]: ModLauncher running: args [--username, ERROR__405, --version, forge-47.4.0, --gameDir, C:\Users\Philipp\curseforge\minecraft\Instances\Test el3, --assetsDir, C:\Users\Philipp\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 2fb773a4b48b46ab95391fa4228635ac, --accessToken, ????????, --clientId, 108be9b-24cca1-e80062-585bc1-c4490e, --xuid, 2535463454478930, --userType, msa, --versionType, release, --width, 1920, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:44:30] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[18:44:42] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:44:43] [main/INFO]: Trying GL version 4.6
[18:44:43] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:44:43] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[18:44:43] [main/INFO]: crimes against java were committed
[18:44:43] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[18:44:43] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Philipp/curseforge/minecraft/Instances/Test%20el3/mods/Connector-1.0.0-beta.46+1.20.1.jar%23375%23378!/ Service=ModLauncher Env=CLIENT
[18:44:43] [pool-2-thread-1/INFO]: GL info: AMD Radeon(TM) Graphics GL version 4.6.0 Core Profile Context 25.8.1.250617, ATI Technologies Inc.
[18:44:43] [main/INFO]: Found mod file Connector-1.0.0-beta.46+1.20.1-mod.jar of type MOD with provider org.sinytra.connector.locator.ConnectorEarlyLocator@6090f3ca
[18:44:44] [main/INFO]: Found mod file AchievementOptimizer-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file AdvancedAE-1.2.7-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file AdvancementPlaques-1.20.1-forge-1.6.9.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file AE2NetworkAnalyzer-1.20-1.0.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file alltheleaks-1.0.7+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.10.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file amendments-1.20-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file antiportals-mc1.20.1-1.3.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.8.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file appliedenergistics2-forge-15.4.8.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
